5617626.39427,2,cfff225,4,8,d5,07,19,08,19,08,01,00,278256260,2024-05-31 17:23:57
5617626.39572,2,18ff8c29,4,8,43,f2,03,7c,11,00,00,00,278256261,2024-05-31 17:23:57
5617626.39624,1,cf02ae2,4,8,be,7c,3a,7d,28,7d,00,05,278256262,2024-05-31 17:23:57
5617626.3968,1,8f02de2,4,8,d8,7c,09,7d,d1,80,00,00,278256263,2024-05-31 17:23:57
5617626.39734,1,cf029e2,4,8,ba,4f,7d,36,d5,7b,00,05,278256264,2024-05-31 17:23:57
5617626.40275,2,18ff8f29,4,8,00,00,00,00,00,00,00,00,278256265,2024-05-31 17:23:57
5617626.40623,1,cf02ae2,4,8,bb,7c,3a,7d,29,7d,00,05,278256266,2024-05-31 17:23:57
5617626.40679,1,8f02de2,4,8,d7,7c,0a,7d,d2,80,00,00,278256267,2024-05-31 17:23:57
5617626.40734,1,cf029e2,4,8,a7,4f,7d,31,d5,7b,00,05,278256268,2024-05-31 17:23:57
5617626.40966,2,18fefc29,4,8,00,00,00,83,00,00,00,00,278256269,2024-05-31 17:23:57
5617626.41025,2,18ffa280,4,8,00,00,ff,ff,ff,ff,ff,ff,278256270,2024-05-31 17:23:57
5617626.41094,2,18ffa380,4,8,00,ff,ff,ff,ff,ff,ff,ff,278256271,2024-05-31 17:23:57
5617626.41163,2,18ffa580,4,8,00,00,ff,ff,ff,ff,ff,ff,278256272,2024-05-31 17:23:57
5617626.41624,1,cf02ae2,4,8,bf,7c,3a,7d,26,7d,00,05,278256273,2024-05-31 17:23:57
5617626.41669,2,18ff8d29,4,8,00,00,00,00,00,01,00,00,278256274,2024-05-31 17:23:57
5617626.4168,1,8f02de2,4,8,d7,7c,09,7d,d2,80,00,00,278256275,2024-05-31 17:23:57
5617626.41734,1,cf029e2,4,8,87,4f,7d,2b,d5,7b,00,05,278256276,2024-05-31 17:23:57
5617626.42363,2,18ff1529,4,8,00,00,00,00,00,00,00,00,278256277,2024-05-31 17:23:57
5617626.42623,1,cf02ae2,4,8,c3,7c,3a,7d,2a,7d,00,05,278256278,2024-05-31 17:23:57
5617626.42679,1,8f02de2,4,8,d7,7c,09,7d,d2,80,00,00,278256279,2024-05-31 17:23:57
5617626.42733,1,cf029e2,4,8,69,4f,7d,25,d5,7b,00,05,278256280,2024-05-31 17:23:57
5617626.4343,2,cfff025,4,8,00,00,0e,00,00,00,9f,07,278256281,2024-05-31 17:23:57
5617626.43625,1,cf02ae2,4,8,be,7c,3d,7d,29,7d,00,05,278256282,2024-05-31 17:23:57
5617626.4368,1,8f02de2,4,8,d7,7c,09,7d,d2,80,00,00,278256283,2024-05-31 17:23:57
5617626.43735,1,cf029e2,4,8,56,4f,7d,1f,d5,7b,00,05,278256284,2024-05-31 17:23:57
5617626.44624,1,cf02ae2,4,8,c2,7c,3a,7d,29,7d,00,05,278256285,2024-05-31 17:23:57
5617626.4468,1,8f02de2,4,8,d7,7c,09,7d,d2,80,00,00,278256286,2024-05-31 17:23:57
5617626.44734,1,cf029e2,4,8,40,4f,7d,18,d5,7b,00,05,278256287,2024-05-31 17:23:57
